Criterion,Az,Ax,Ay,CV_Accuracy,CV_Discrimination,CV_Delta,CV_Male_Yes_Rate,CV_Female_Yes_Rate,CV_Mean_Score_Gap,CV_Near_Threshold_Count,Test_Accuracy,Test_Discrimination,Test_Delta,Test_Male_Yes_Rate,Test_Female_Yes_Rate,Test_Mean_Score_Gap,Test_Near_Threshold_Count,Fit_Lz,Fit_Lx,Fit_Lx_SAT,Fit_Lx_Gender,Fit_Ly,Weighted_Lz,Weighted_Lx,Weighted_Ly,Final_Converged
min_discrimination,5.0,0.01,0.1,0.5729166666666666,0.18750000000000003,0.38541666666666663,0.16666666666666666,0.3541666666666667,0.013489676823371766,20,0.5833333333333334,0.16666666666666666,0.41666666666666674,0.16666666666666666,0.3333333333333333,0.01906840284816197,11,0.08567049848786026,0.3341767927141579,0.013577413780920566,0.3205993789332373,0.6344302291630233,0.4283524924393013,0.003341767927141579,0.06344302291630233,True
max_delta,0.5,0.01,5.0,0.8697916666666666,0.40625000000000006,0.4635416666666666,0.7083333333333334,0.3020833333333333,0.5286825478123118,6,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6593362302959802,0,1.3218894544708724,0.45542675152672435,0.29147541291225215,0.1639513386144722,0.005684364663897955,0.6609447272354362,0.004554267515267244,0.028421823319489774,True
